request_id,account_id,adplan_id,os,client_type,hour
e79343205e414a2caf9b0ae16f676208,10322,71677,2,a,16
e7918e82efe54ce09b93107b2dc9a172,13515,70251,1,a,12
e7902e9aaf944e958bb9a7953be85748,11928,71360,2,a,21
e78c8b5db59d44a29bcd381442725881,10512,41526,1,a,19
e78c5e40793d44f685108ac6e2f8bb3d,12906,38001,1,a,21
e78ba9a7d7e24bd6865a25289f9dad15,12200,29624,2,w,7
e78aacaee2d44205967c19d57d09c90e,14028,62326,2,a,14
e786ac3f59614e3b9b428c5dfe0beb1b,10512,41508,1,a,20
e786ac3f59614e3b9b428c5dfe0beb1b,14607,68732,1,a,20
e7868adfec74480eb984884238d75fa4,14859,69215,1,w,23
e785a34c647948d5a4fb0a5df5c747a3,10324,2206,2,w,20
e784877d31384e4096d3aab81bdc0198,15139,71382,2,a,19
e783d66577564e6db672d8e36c532dc3,10158,71133,2,a,11
e7839e00e4fd4f85b54ce61a12f35c11,15150,70837,1,a,22
e7815d82460a486d8c6e6c540219575f,12287,51178,1,a,22
e77fb4d830884e089be3161dae1e8547,14956,71381,1,a,1
e77e3c3ca90447fca72e4440ae395996,10979,34929,2,w,18
e77dd60744f843ffb8c3ad4d7d676992,13904,71627,1,a,16
e77d710aaa094ff186c2e0163d5b4607,10413,66653,2,w,22
e77d41f3181649f6814b6f49c68922f8,11274,63538,1,a,0
e77ca6cf3c4147ea9e7f22d2016c242c,14312,66426,2,w,18
e77c9c813790440c9f6f16a7f929af3a,13657,53863,2,a,8
e77c9c813790440c9f6f16a7f929af3a,14906,70818,2,a,7
e77ae435997646d193c9ce2cb40e9ead,14223,71244,1,a,11
e77a89127d8e4c3eb4d1c73d75d12611,15184,71788,1,a,22
e7780bbe0a9142fba5b7de9507f1dae9,10206,39517,2,a,14
e776d419bf094b379b3e2b05ba8b8894,12642,70397,1,a,6
e776a54ce9254d368468e0a1c657d1f1,12848,36029,2,a,13
e77586978a7d47158d1e36b96d696839,14362,67237,1,a,19
e7756fe2577847ff955834ec1055cf5f,14145,70352,2,a,8
e7754bf7630e445ca5b78d99414603e3,14906,70818,1,a,15
e7752fdb3f9b475db7888c9a0093c005,14906,70818,1,a,17
e7748a62608d40189e29d08dabe2a098,12899,40817,2,a,12
e7734e2bee7344099d3a5dbf2551bfde,12848,36029,2,a,16
e771e5c1a3164d06943a026fa69bba30,10324,2210,1,a,5
e771e5c1a3164d06943a026fa69bba30,12770,66836,1,a,5
e76c49bf17e642159794da993205c4a9,14809,71632,1,a,22
e76c49bf17e642159794da993205c4a9,12042,69175,1,a,23
e76c49a1ea17467f9ca3ae5f073a2801,12267,57030,1,a,16
e76c44ce287c477ba7cfd4278891df72,13591,63663,1,a,22
e76b6cb3ba3c4627b339138a883d8f3d,14623,70233,1,w,16
e76b099d4b4a4f52891d351a8cfe4d3c,15024,69231,2,a,19
e76adb7be40743c9aac78e25f2dda56e,13894,70622,2,a,10
e76adb7be40743c9aac78e25f2dda56e,10322,71471,2,a,10
e76adb7be40743c9aac78e25f2dda56e,12138,64001,2,a,10
e76a4a754c46460b979f84d51921b9d5,13873,59934,1,a,13
e769dce6b180457c915e0bbcbe8a4682,14859,69215,1,w,14
e76962905b714223809a32883ec10373,12494,66442,2,a,15
e7690caa8251448186c2a00ceb63d6ce,12494,66442,2,a,16
e766f295da8d47e2be9571892f8ece6b,10979,34929,2,a,22
e7648aee26e044e3865623db0c3ebd2c,14770,70752,2,a,12
e7648aee26e044e3865623db0c3ebd2c,14362,67237,2,a,12
e76441c72c154bdf9b8816c26c02be10,10512,41508,2,a,10
e762f1a39f4947a8912d9db90bcd6d22,13904,71627,1,a,15
e762345c70654805b690db5819a15403,12848,36029,2,a,16
e762345c70654805b690db5819a15403,14770,70752,2,a,16
e75db1a621f742a58a3cf5a5526e7848,14010,71265,2,a,7
e75af45de48c470f8253b248459aacb1,13310,60578,2,a,14
e75a93bd3e374d07b7d684fa041915a0,12686,71625,2,a,9
e75a9234936c47cfa29660edc29fa5a1,11946,71442,1,a,6
e75a8860a7fe4b4abae8cb441e418758,10687,4479,1,a,11
e7597e26534a4eaf97ad699713cccfbf,13894,70622,2,a,21
e758093589794488bbb58a4497a4d462,11946,71464,1,a,18
e758093589794488bbb58a4497a4d462,15184,71788,1,a,18
e75561b8d553463181a07bd1154a7ab9,15135,71398,2,a,1
e754c1c3dd554880a01e4608464e687f,14362,67237,1,a,22
e7531362d8ee4f31bc61368d7b269c06,12664,53366,1,a,20
e7524bcf50524da58248fff9a0c78730,12116,45689,2,a,22
e750c74bbaab40c99820248672549b8c,10158,70850,2,a,15
e7507eed8db240b9858ad5375deae84f,13386,71057,1,a,21
e74fb7c7326d4101b451d902a90197dd,12842,71597,1,a,17
e74e82c40e85412387c1ccf820f45338,12116,45689,2,a,18
e74e42bd1e6a4c0788c020b028e5a50a,15150,70837,1,a,22
e74de31ac0b04033b7fe8bd3a8322c23,12389,70238,1,a,17
e74b11d39c174731af6295762eb51751,13904,71627,1,a,10
e748d7bbff3a4cf3b70aea6599d80a61,12042,69175,1,a,16
e74889cf9f0e45e48781464bd415de72,14487,69753,1,a,11
e747dd8a8c7142119b3c18fe178f3eb0,15036,69496,2,a,10
e746fce869d7456780a0b48ca1d9cc10,14526,68594,1,a,18
e746a204427d42d8812a8da156beafef,15141,70914,1,a,10
e7433f894338417d959ce208cc3d844e,12494,66442,1,a,17
e7433f894338417d959ce208cc3d844e,14906,70818,1,a,17
e741ae224b774cd9aa0166b0eda4b682,13983,57749,1,a,21
e7411dfab634478bb2b97f9c4f980cc4,10206,39517,1,a,22
e73f3cbcccaf44e2a597adddd6f74b0f,13873,61675,1,a,10
e73f2e44906b4b08b2ef7f904dd2864d,13386,63464,1,a,9
e73f2d71de26497f9c5a8dfb7f77271a,10324,2206,2,a,2
e73e9b398f844d7098ac20951b95a164,10687,4479,1,a,10
e73d196199a04f2c9d99aa912222dd12,13894,70622,1,a,12
e73d0d504c3541ea917c8139935a7e89,10870,49404,1,a,20
e73c067afac948829c4eeb09fe4fa4a7,14794,68698,1,a,11
e7379f01425c41e1be5f9f33bc859cdf,14906,70818,1,a,23
e7379f01425c41e1be5f9f33bc859cdf,13352,70133,1,a,23
e736a9cc292445be8c95fd5261640cd8,15111,71193,2,a,16
e7357d618bd54506baa57a1ebeea5a71,10806,5900,2,w,12
e7347eab692143cd86df5c3de60572c3,14906,70818,1,a,23
e7347eab692143cd86df5c3de60572c3,15011,71314,1,a,23
e73447e6a6b9404fabdcc61e6cba214e,10322,71471,2,a,8
e73348a9744a4443a9e886c29971960f,12096,71902,1,a,18
e73173ebfab84d01bf1f7f159a563d94,10158,70850,2,a,22
e7313fa2859543669dc1cc9b02109619,14854,71546,1,a,17
e72e829b05794f6dba541395e611a229,12647,71243,1,w,16
e72cc33e520c425f8ef47eda18088773,10254,68325,2,a,10
e72b9687665f4f768c787b3239405b32,11903,69643,1,a,23
e72b766a8f9a4428aef2b5aefc25de26,13904,71627,1,a,23
e726ac305b2e46e8b92963c26bc473b1,12899,38418,1,a,22
e7269917d80d45a19d640fea4e09dfaa,15184,71788,1,w,17
e7265d96806544e2b5d83d69af5364ce,13575,48303,1,a,7
e725dbcee3c04d499fa6d87e6b3b00e5,15004,70559,2,a,10
e72515e89ede4e139351b38fd7a0e6c3,15013,70580,1,w,20
e7207285dcfe4b23ba3ffb7fd551e0bd,10645,65230,2,a,10
e7205a577cf04e31b4bf707608202054,14288,65556,1,a,9
e71f496f7263436b8b62de01124a2133,14602,69982,2,a,15
e71d707652994783b15a3bf4c9c66f61,10645,65360,2,a,10
e71bd865be6c42c996c1961d633116ed,13789,69200,1,a,17
e71b47a076b5441dbe4686253e1d87c3,13352,70133,1,a,20
e71a97127b8e4ecb8e7f9ab7f1e43355,12051,66769,2,a,1
e719d662d4b54b5489ae47e0f71519fb,12466,70427,1,a,11
e718dd10713540c9b7df3a9f8c555916,13143,70998,1,a,6
e718dd10713540c9b7df3a9f8c555916,14410,63701,1,a,6
e717cdc619a240b2a47af4e862a63986,13386,67605,1,a,16
e717cdc619a240b2a47af4e862a63986,15084,70436,1,a,16
e711aecbaba84c68aa5c4af7227d5c54,12042,69175,1,a,16
e71192cd47cb4ea0b4532cb014e6c732,14906,70818,1,a,11
e711260f81184f40a3dc8e4e2790ce4a,12664,53366,1,w,16
